timestamp_ms,names,temperatures
1749493338563,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.75, 31.29, 27.43, 26.77]"
1749493339559,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.81, 31.71, 31.29, 27.48, 26.81]"
1749493340563,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.71, 31.29, 27.43, 26.81]"
1749493341559,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.74, 31.61, 31.27, 27.45, 26.9]"
1749493342564,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.64, 31.61, 31.29, 27.45, 26.95]"
1749493343569,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.64, 31.56, 31.25, 27.43, 26.9]"
1749493344568,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.64, 31.49, 31.27, 27.45, 26.88]"
1749493345566,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.6, 31.45, 31.2, 27.48, 26.81]"
1749493346565,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.6, 31.42, 31.25, 27.52, 26.95]"
1749493347564,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.74, 31.49, 31.29, 27.5, 28.47]"
1749493348562,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.74, 31.52, 31.48, 27.61, 29.18]"
1749493349561,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.81, 31.61, 31.58, 27.73, 29.02]"
1749493350562,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.83, 31.68, 31.6, 27.77, 28.91]"
1749493351559,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.88, 31.75, 31.58, 27.79, 28.68]"
1749493352568,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.85, 31.8, 31.58, 27.75, 28.47]"
1749493353566,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.73, 31.48, 27.7, 28.24]"
1749493354564,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.76, 31.68, 31.39, 27.61, 28.04]"
1749493355563,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.74, 31.61, 31.29, 27.57, 27.86]"
1749493356562,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.57, 31.52, 31.18, 27.48, 27.63]"
1749493357559,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.5, 31.42, 31.11, 27.39, 27.47]"
1749493358566,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.41, 31.38, 30.87, 27.34, 27.33]"
1749493359562,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 31.33, 30.78, 27.34, 27.17]"
1749493360561,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 31.19, 30.78, 27.29, 27.04]"
1749493361559,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.22, 31.16, 30.73, 27.25, 26.95]"
1749493362561,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.36, 31.16, 30.73, 27.25, 26.9]"
1749493416371,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.81, 31.8, 31.67, 27.95, 27.17]"
1749493417381,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.78, 31.72, 28.02, 27.22]"
1749493418382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.81, 31.8, 31.74, 28.0, 27.17]"
1749493419382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.81, 31.89, 31.72, 28.02, 27.13]"
1749493420387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.85, 31.72, 28.02, 27.08]"
1749493421387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.76, 31.85, 31.72, 28.02, 27.13]"
1749493422383,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.76, 31.82, 31.69, 27.98, 27.08]"
1749493423380,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.74, 31.82, 31.69, 28.0, 27.15]"
1749493424384,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.76, 31.85, 31.72, 28.02, 27.17]"
1749493425380,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.8, 31.53, 27.98, 27.13]"
1749493426387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.81, 31.87, 31.67, 27.98, 28.24]"
1749493427379,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.83, 31.92, 31.76, 28.02, 29.37]"
1749493428388,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.78, 31.92, 31.76, 27.79, 29.62]"
1749493429384,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.83, 31.94, 31.91, 27.77, 29.72]"
1749493430381,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.74, 31.99, 31.34, 27.84, 30.67]"
1749493431386,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.88, 32.2, 32.0, 28.02, 30.37]"
1749493432381,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.9, 32.18, 32.29, 28.07, 29.99]"
1749493433387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.9, 32.15, 32.29, 28.07, 29.79]"
1749493434384,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.9, 31.97, 32.29, 31.11, 32.76]"
1749493435380,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.97, 32.11, 32.29, 31.35, 32.86]"
1749493436381,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.97, 32.13, 32.24, 31.35, 32.98]"
1749493437386,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.97, 32.08, 31.95, 42.78, 33.39]"
1749493438378,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.93, 32.13, 32.05, 34.66, 33.02]"
1749493439390,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.88, 32.23, 31.95, 34.27, 32.95]"
1749493440383,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.0, 32.27, 32.26, 31.3, 33.05]"
1749493441379,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.0, 32.42, 32.29, 31.21, 33.05]"
1749493442387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.0, 32.51, 32.24, 31.49, 32.95]"
1749493443387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.95, 32.37, 32.02, 31.92, 32.62]"
1749493445386,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.13, 27.37, 31.81, 34.03, 31.8]"
1749493446378,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.02, 33.71, 31.91, 27.39, 28.36]"
1749493447386,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[32.26, 33.44, 31.91, 30.34, 31.28]"
1749493448382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[33.52, 33.4, 31.62, 29.26, 29.74]"
1749493449384,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[12.34, 33.25, 31.95, 27.25, 27.51]"
1749493450386,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[28.1, 33.23, 32.38, 28.0, 27.45]"
1749493451385,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[28.42, 33.13, 32.33, 27.48, 26.9]"
1749493452385,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[31.43, 32.94, 32.17, 27.39, 26.68]"
1749493453379,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[33.28, 32.89, 32.38, 27.48, 26.54]"
1749493454383,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[35.06, 33.76, 33.1, 28.09, 27.08]"
1749493455388,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[34.93, 34.78, 33.94, 28.84, 27.63]"
1749493456387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[34.91, 34.49, 34.55, 29.26, 27.95]"
1749493457380,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[35.8, 33.42, 34.7, 29.74, 28.27]"
1749493458378,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.1, 35.07, 34.85, 30.04, 28.63]"
1749493459386,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.12, 35.69, 35.04, 30.27, 28.61]"
1749493460384,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.07, 35.35, 35.07, 30.6, 28.98]"
1749493461380,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.22, 35.52, 35.09, 30.76, 29.07]"
1749493462382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[37.46, 35.77, 35.14, 30.74, 29.18]"
1749493463388,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.3, 35.69, 35.24, 30.93, 29.23]"
1749493464382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.05, 36.02, 35.24, 30.79, 29.25]"
1749493465379,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.2, 35.57, 35.24, 31.07, 29.37]"
1749493466383,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.5, 35.77, 35.22, 31.14, 29.46]"
1749493467380,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.27, 35.47, 35.29, 31.07, 29.46]"
1749493468387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.45, 35.79, 35.19, 31.21, 29.6]"
1749493469385,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.47, 35.82, 35.27, 31.3, 29.74]"
1749493470382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.45, 35.77, 35.49, 31.37, 29.76]"
1749493471387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.4, 35.82, 35.41, 31.37, 29.79]"
1749493472383,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.27, 36.02, 35.39, 31.37, 29.83]"
1749493473389,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.4, 35.77, 35.39, 31.92, 30.16]"
1749493474387,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[36.15, 35.62, 35.19, 31.66, 29.92]"
1749493475382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[35.85, 35.35, 34.9, 31.4, 29.6]"
1749493476388,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[35.7, 35.1, 34.6, 31.14, 29.3]"
1749493477382,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[35.4, 34.93, 34.36, 30.95, 29.18]"
1749493478388,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[35.08, 34.68, 34.04, 30.62, 29.0]"
1749493479385,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[34.71, 34.39, 33.87, 30.48, 28.82]"
1749493480381,"['Therm1', 'Therm2', 'Therm3', 'Therm4', 'Therm5']","[34.57, 34.17, 33.82, 30.32, 28.63]"
